PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	32709224	Journal Article; Meta-Analysis; Systematic Review	Effect of diabetes mellitus on survival in patients with gallbladder Cancer: a systematic review and meta-analysis.		Jing, Chen; Wang, Zhengyi; Fu, Xue		BMC cancer	20	1	689	2020	2020 Jul 24	English	0	1	BACKGROUND: Increasing evidences indicated that diabetes might increase the incidence of gallbladder cancer. However, no sufficient data has ever clarified the impact of diabetes on the survival of patients with gallbladder cancer.METHODS: We comprehensively searched PubMed, Embase, and the Cochrane Library databases through July 2019 in order to find sufficient eligible researches. The pooled hazard risks (HRs) and relative risks (RRs) with 95% confidence intervals (CIs) were calculated with either fix-effects or random-effects model. Due to the low gallbladder cancer mortality in general population, the RRs and standard mortality ratios (SMRs) were considered the similar estimates of the HRs.RESULTS: Ten eligible studies were included in this meta-analysis. Analysis of eight cohorts found that diabetes was closely associated with the mortality of gallbladder cancer (HR=1.10; 95% CI: 1.06-1.14; P<0.00001). However, the mortality in male diabetes patients was not higher than female patients (RR=1.08, 95%CI=0.57-2.04, P=0.80).CONCLUSIONS: These findings indicated that diabetes patients had a higher mortality of gallbladder cancer compared with non-diabetes.		School of Nursing and Health, Nanfang College of Sun Yat-sen University, Guangzhou, 510970, Guangdong Province, China.; School of Nursing and Health, Nanfang College of Sun Yat-sen University, Guangzhou, 510970, Guangdong Province, China. fu1xue@163.com.			Confidence Intervals. Diabetes Complications / mortality. Diabetes Mellitus / *mortality. Female. Gallbladder Neoplasms / complications; *mortality. Humans. Male. Publication Bias. Risk Factors. Sex Factors	Index Medicus	Diabetes mellitus; Gallbladder cancer; Meta-analysis; Mortality						Mathematics; Endocrinology & Metabolism; Gastroenterology & Hepatology; Oncology; Information Science & Library Science (provided by Clarivate Analytics)	1471-2407	100967800	England			MEDLINE			 / 05 Feb 2021 / 05 Feb 2021		24 Jul 2020		10.1186/s12885-020-07139-y	MEDLINE:32709224	Green Published, Green Submitted, gold			2021-12-06
J	34458220	Journal Article	The Homeless People in China During the COVID-19 Pandemic: Victims of the Strict Pandemic Control Measures of the Government.		Wang, Ying; Hua, Lei; Zou, Shuyun; Deng, Taofeng; Chen, Yongqi; Cao, Wanying; Wu, Chuhan; Zhou, Yujie; Zou, Hua		Frontiers in public health	9		679429	2021	2021 	English	5	5	Copyright © 2021 Wang, Hua, Zou, Deng, Chen, Cao, Wu, Zhou and Zou.Background: By implementing aggressive control measures, China has rapidly and effectively controlled the Coronavirus disease 2019 (COVID-19) pandemic. However, the neglected homeless population may become victims of that perceived success. Due to political sensitivity, we know little about them. Aims: This study aimed to investigate how the pandemic and the pandemic control strategies of the government affected the lives of the homeless people in mainland China. Methods: A total of 103 eligible participants experiencing absolute homelessness were recruited from Guangzhou City during July and August 2020. Surveys measured demographic characteristics including health status, changes in daily living, and actions of the government toward the homeless during the pandemic. Sankey diagrams and ordered logit regression models were used to examine the impact on the homeless of inhumane government efforts to drive the homeless away. Qualitative materials were analyzed by using an inductive approach to provide more details. Results: First, the homeless people in Guangzhou tended to be male, aged 40 to 64 years, less well-educated, and they originated from outside Guangdong although they were living in the city center. Most had little connection with their families. After a long period of homelessness, almost half of the participants were in poor health with various conditions, which made them extremely vulnerable to COVID-19. Second, the pandemic caused a substantial decline in incomes of homeless people, had less of a negative impact on their food intake, and affected sleep time in different ways. Third, during the COVID-19 pandemic, humanitarian aid from local governments of China decreased, whereas inhumane efforts to drive the homeless away intensified. Fourth, quantitative models and qualitative materials demonstrate the devastating effect of the strict pandemic control strategy of the government on the lives of homeless people, which may further cause their health problems. Conclusion: This study for the first time illustrated the characteristic features of the street homeless population in mainland China and their living situation during the COVID-19 pandemic, and most importantly demonstrated the devastating effect of the strict pandemic control of the government, which has been considered a great success in previous studies, on lives of homeless people. Urgent measures should be taken to ensure the protection of the homeless population and prevent an impending humanitarian crisis.		School of Public Policy and Administration, Chongqing University, Chongqing, China.; School of Public Administration, Nanfang College of Sun Yat-sen University, Guangzhou, China.; College of Attainment, Nanfang College of Sun Yat-sen University, Guangzhou, China.; School of Government, Sun Yat-sen University, Guangzhou, China.		Hua, Lei/0000-0002-1447-3349	China / epidemiology. *COVID-19. Government. *Homeless Persons. Humans. Male. Pandemics / prevention & control. SARS-CoV-2	Health Administration; Index Medicus	COVID-19 pandemic; Mainland China; government's strict pandemic control; homeless people; humanitarian crisis						Government & Law; Infectious Diseases; Public, Environmental & Occupational Health (provided by Clarivate Analytics)	2296-2565	101616579	Switzerland			MEDLINE			 / 06 Sep 2021 / 06 Sep 2021		12 Aug 2021		10.3389/fpubh.2021.679429	MEDLINE:34458220	Green Published, gold			2021-12-06
J	32165676	Journal Article; Research Support, Non-U.S. Gov't	Cloning and characterization of two chlorophyll A/B binding protein genes and analysis of their gene family in Camellia sinensis.		Li, Xian-Wen; Zhu, Yu-Lin; Chen, Chu-Yan; Geng, Zhi-Juan; Li, Xiang-Yong; Ye, Ting-Ting; Mao, Xiao-Nan; Du, Fang		Scientific reports	10	1	4602	2020	2020 03 12	English	5	10	In this study, two chlorophyll A/B binding protein (CAB) genes (CsCP1 and CsCP2) in tea plant were cloned. The proteins encoded by these genes belong to the external or internal antenna proteins of PS II, respectively. They may be the targets of physiological regulation for tea leaf cell PS II because they all contain multiple functional domains and modifiable sites. The CAB gene family in the tea genome consists of 25 homologous genes. We measured the expression patterns of ten genes in the CsCP1 and CsCP2 subfamily under six different stresses. CsCP1 expression was inhibited in response to 6 kinds of stress; CsCP2 expression was slightly upregulated only after cold stress and ABA treatment. However, the expression levels of CSA016997 and CSA030476 were upregulated significantly in the six stresses. The results suggested that the 10 CAB genes may have different functions in tea leaves. Moreover, changes in the expression of the 10 genes under stress appear to be related to ABA- and MeJA-dependent signalling pathways, and their responses to MeJA treatment is faster than those to ABA. In addition, we introduced our experiences for cloning the genes in the context of complex genomes.		Nanfang College of Sun Yat-sen University, Guangzhou, 510970, China. xianwenli01@sina.com.; College of Life Science, Xinyang Normal University, Xinyang, 464000, China. xianwenli01@sina.com.; Nanfang College of Sun Yat-sen University, Guangzhou, 510970, China.; College of Life Science, Xinyang Normal University, Xinyang, 464000, China.			Camellia sinensis / *genetics; metabolism. Chlorophyll Binding Proteins / chemistry; *genetics; metabolism. Cloning, Molecular. Gene Expression Profiling. *Gene Expression Regulation, Plant. *Genes, Plant. Models, Molecular. *Multigene Family. Photosynthesis / genetics. Phylogeny. Protein Conformation. Structure-Activity Relationship. Transcriptome	Index Medicus				0 / Chlorophyll Binding Proteins			Plant Sciences; Genetics & Heredity; Biochemistry & Molecular Biology; Evolutionary Biology; Pharmacology & Pharmacy (provided by Clarivate Analytics)	2045-2322	101563288	England			MEDLINE			 / 23 Nov 2020 / 12 Mar 2021		12 Mar 2020		10.1038/s41598-020-61317-3	MEDLINE:32165676	Green Published, gold			2021-12-06
J	32167624	Comparative Study; Evaluation Study; Journal Article	Performance evaluation of the DAAN HCV assay for quantification of hepatitis C virus RNA and its comparison with COBAS AmpliPrep/COBAS TaqMan HCV Quantitative Test, v2.0.		He, Yuting; Wang, Yichong; Chen, Xuefang; Huang, Hao; Deng, Jiankai; Chen, Peisong; Bin, Huang		Journal of clinical laboratory analysis	34	7	e23280	2020	2020 Jul (Epub 2020 Mar 13)	English	0	0	© 2020 The Authors. Journal of Clinical Laboratory Analysis published by Wiley Periodicals, Inc.BACKGROUND: The Daan HCV RNA quantitative assay was a recently developed kit with high sensitivity for the detection of HCV RNA. We aimed to evaluate the analytical performance of the Daan HCV RNA quantitative assay and compare it with the COBAS AmpliPrep/COBAS TaqMan HCV Quantitative Test, v2.0.METHOD: WHO HCV RNA standard, NIBSC 06/102 standard, and CLSI EP documents were used to evaluate the precision, accuracy, linearity, anti-interference ability, and cross-reactivity of the Daan HCV RNA quantitative assay. Overall 198 clinical serum specimens were used to make comparison between the Daan HCV RNA quantitative assay and the Roche Cobas test.RESULTS: The within-run precision (Swithin ), and total precision (Stotal ) for 6.11log IU/mL, 4.22log IU/mL, and 2.32log IU/mL HCV RNA were 0.13 and 0.15, 0.07 and 0.09, and 0.11 and 0.10, respectively. The linear range was 20-108 IU/mL, and the limit of detection was 15IU/mL. It did not display any interference with commonly encountered conditions and cross-reactivity with some common virus. A good agreement was observed between the Daan HCV RNA quantitative assay and the Roche Cobas test.CONCLUSION: The Daan HCV RNA quantitative assay has shown satisfactory performances and excellent agreement with COBAS HCV Quantitative Test on clinical specimens with lower cost, which provides an alternative choice for the diagnosis and monitoring of HCV infection in developing countries.		Department of Laboratory Medicine, The First Affiliated Hospital, Sun Yat-sen University, Guangzhou, China.; Nanfang college of Sun Yat-sen University, Guangzhou, China.		Wang, Y/0000-0001-8484-8436; He, Yuting/0000-0001-7133-9501	Artifacts. Hepatitis C / *genetics. Humans. Limit of Detection. Nucleic Acid Amplification Techniques / methods. *Reagent Kits, Diagnostic. Real-Time Polymerase Chain Reaction / *methods. RNA, Viral / *blood	Index Medicus	DAAN HCV assay; HCV RNA quantitative assay; Roche Cobas test; hepatitis C virus RNA; methodology comparison; performance evaluation			0 / RNA, Viral. 0 / Reagent Kits, Diagnostic			General & Internal Medicine; Infectious Diseases; Gastroenterology & Hepatology; Genetics & Heredity; Biochemistry & Molecular Biology; Medical Laboratory Technology (provided by Clarivate Analytics)	1098-2825	8801384	United States			MEDLINE			 / 05 Aug 2021 / 05 Aug 2021		13 Mar 2020		10.1002/jcla.23280	MEDLINE:32167624	Green Published, gold			2021-12-06
J	32414384	Letter	"Pairing assistance": the effective way to solve the breakdown of health services system caused by COVID-19 pandemic.		Chen, Tianxiang; Wang, Ying; Hua, Lei		International journal for equity in health	19	1	68	2020	2020 05 15	English	1	4	The most terrifying thing about pandemic could be the large number of patients running against the health service system, which causes a serious shortage of health resources, especially medical personnel. Plotting mortality and diagnosis rates against medical staff resources in 16 cities in Hubei Province, where the epidemic was initially concerned and the most severe, shows a significant negative correlation, indicating the critical role of medical staff resources in controlling epidemics. Nevertheless, it is difficult to ensure that there exist enough medical personnel in cities severely hit by the outbreak. China provides solutions by adopting nationwide "pairing assistance" measures with at least one province assisting one city to alleviate pressure in the most severe area. By plotting the number of patients receiving treatment against day, it is clear that implementing "pairing assistance" is a turning point in China's fight against epidemics.		School of Government, Sun Yat-sen University, Guangzhou, Guangdong, China.; Department of Public Administration, Nanfang College of Sun Yat-sen University, Guangzhou, Guangdong, China.; School of Government, Sun Yat-sen University, Guangzhou, Guangdong, China. leihuapir@gmail.com.; Department of Public Administration, Nanfang College of Sun Yat-sen University, Guangzhou, Guangdong, China. leihuapir@gmail.com.		Hua, Lei/0000-0002-1447-3349	Betacoronavirus. China / epidemiology. Coronavirus Infections / *epidemiology. COVID-19. Disease Outbreaks. Health Resources / *supply & distribution. Health Services / *supply & distribution. Humans. Pandemics. Personnel, Hospital / *supply & distribution. Pneumonia, Viral / *epidemiology. SARS-CoV-2	Index Medicus	COVID-19 pandemic; Health resources; Health service system; Medical personnel; Pairing assistance						Infectious Diseases; Public, Environmental & Occupational Health; Health Care Sciences & Services; Respiratory System (provided by Clarivate Analytics)	1475-9276	101147692	England			MEDLINE			 / 20 May 2020 / 18 Dec 2020		15 May 2020		10.1186/s12939-020-01190-8	MEDLINE:32414384	gold, Green Published			2021-12-06
J	33941157	Journal Article	Rational design and structure-based engineering of alkaline pectate lyase from Paenibacillus sp. 0602 to improve thermostability.		Zhou, Zhanping; Wang, Xiao		BMC biotechnology	21	1	32	2021	2021 05 03	English	7	8	BACKGROUND: Ramie degumming is often carried out at high temperatures; therefore, thermostable alkaline pectate lyase (PL) is beneficial for ramie degumming for industrial applications. Thermostable PLs are usually obtained by exploring new enzymes or reconstructing existing enzyme by rational design. Here, we improved the thermostability of an alkaline pectate lyase (PelN) from Paenibacillus sp. 0602 with rational design and structure-based engineering.RESULTS: From 26 mutants, two mutants of G241A and G241V showed a higher thermostability compared with the wild-type PL. The mutant K93I showed increasing specific activity at 45°C. Subsequently, we obtained combinational mutations (K93I/G241A) and found that their thermostability and specific activity improved simultaneously. The K93I/G241A mutant showed a half-life time of 15.9min longer at 60°C and a melting temperature of 1.6°C higher than those of the wild PL. The optimum temperature decreased remarkably from 67.5°C to 60°C, accompanied by a 57% decrease in Km compared with the Km value of the wild-type strain. Finally, we found that the intramolecular interaction in PelN was the source in the improvements of molecular properties by comparing the model structures. Rational design of PelN was performed by stabilizing the alpha-helices with high conservation and increasing the stability of the overall structure of the protein. Two engineering strategies were applied by decreasing the mutation energy calculated by Discovery Studio and predicting the free energy in the process of protein folding by the PoPMuSiC algorithm.CONCLUSIONS: The results demonstrated that the K93I/G241A mutant was more suitable for industrial production than the wild-type enzyme. Furthermore, the two forementioned strategies could be extended to reveal engineering of other kinds of industrial enzymes.		Tianjin Sinonocy Biological Technology Co. Ltd., Tianjin, 300308, China.; Nanfang College of Sun Yat-Sen University, Guangzhou, 510970, China. wangx@nfu.edu.cn.				Index Medicus	Alkaline pectate lyase; PoPMuSiC; Protein engineering; Site-directed mutagenesis; Thermostability							1472-6750	101088663	England			In-Process			 / 26 Aug 2021		03 May 2021		10.1186/s12896-021-00693-8	MEDLINE:33941157	Green Published, gold			2021-12-06
J	34054137	Journal Article	Inter-relating factors influencing the quality of stay of Chinese-speaking students in a French University.		Hsin-I, Lee; Tzu-Yu, Lin; Sheng-Hsiung, Chiu		Higher education			1-18	2021	2021 May 22 (Epub 2021 May 22)	English	41	41	© The Author(s), under exclusive licence to Springer Nature B.V. 2021.This paper explores factors that influenced the quality of stay of Chinese-speaking mobile students in France, as the living experience abroad is one of the most-cited difficulties for international students. For practicality, we sieve through previous researches to identify 20 factors (grouped into 4 Dimensions: Personal Dimension Teacher's Effectiveness Dimension, Campus Environment Dimension, and Daily Environment Dimension), which most likely correlated with the quality of the stay of mobile Chinese-speaking students in France. We adopt the DANP (DEMATEL-based ANP) model, i.e., combining the Decision Making and Trial Evaluation Laboratory (DEMATEL) method and the Analysis Network Process (ANP), to construct the Influential Network Relation Maps, identifying the hierarchical structure among the factors and the dimensions. We find that the "Teacher's Effectiveness" is the most influential dimension to the other 3 dimension. Our research can provide more insights on the French educational system improvement, and help define a more effective policy strategy focus.		School of Foreign Languages, Guilin Tourism University, No. 26 Liangfeng Road, Yanshan District, Guilin, 541006 Guangxi China.; Accounting School, Nanfang College Guangzhou, No. 882, Wenquan Road, Conghua District, Guangzhou, 510970 Guangdong China.					Academic mobility; Analysis Network Process; Chinese-speaking mobile student; DANP; Decision Making and Trial Evaluation Laboratory; Quality of students stay							1573-174X	101726121	Netherlands			Publisher			 / 01 Jun 2021		22 May 2021		10.1007/s10734-021-00723-6	MEDLINE:34054137	Bronze, Green Published			2021-12-06
J	34349190	Journal Article; Research Support, Non-U.S. Gov't	Improve thermostability of Bacillus sp. TS chitosanase through structure-based alignment.		Zhou, Zhanping; Wang, Xiao		Scientific reports	11	1	15846	2021	2021 08 04	English	12	12	© 2021. The Author(s).Chitosanases can catalyze the release of chitooligosaccharides which have a number of medical applications. Therefore, Chitosanases are good candidates for large-scale enzymatic synthesis due to their favorable thermostability properties and high catalytic efficiency. To further improve the thermostability of a chitosanase from Bacillus sp. TS, which has a half-life of 5.32min, we mutated specific serine residues that we identified as potentially relevant through structure comparison with thermophilic CelA from Clostridium thermocellum. Out of a total of 15 mutants, three, namely S265G, S276A, and S347G, show higher thermostability. Their half-lives at 60°C were calculated as 34.57min, 36.79min and 7.2min. The Km values of S265G, S276A and S347G mutants show substrate binding ability comparable to that of the wild-type enzyme, while the S265G mutant displays a significant decrease of enzymatic activities. Additionally, we studied the synergistic effects of combined mutations, observing that all double mutants and the triple mutant are more stable than the wild-type enzyme and single mutants. Finally, we investigated the mechanisms which might give a reasonable explanation for the improved thermostability via comparative analysis of the resulting 3D structures.		Tianjin Sinonocy Biological Technology Co. Ltd., Tianjin, 300308, China.; Nanfang College of Sun Yat-Sen University, Guangzhou, 510970, China. wangx@nfu.edu.cn.			Bacillus / *enzymology. Catalysis. Enzyme Stability. Glycoside Hydrolases / *chemistry; genetics; metabolism. *Hot Temperature. Kinetics. Models, Molecular. Mutant Proteins / *chemistry; genetics; metabolism. *Mutation. Protein Conformation	Index Medicus				0 / Mutant Proteins. EC 3.2.1.- / Glycoside Hydrolases. EC 3.2.1.132 / chitosanase			Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity (provided by Clarivate Analytics)	2045-2322	101563288	England			MEDLINE			 / 08 Nov 2021 / 08 Nov 2021		04 Aug 2021		10.1038/s41598-021-95369-w	MEDLINE:34349190	gold, Green Published			2021-12-06
J	32836902	Journal Article	Identifying epidemic spreading dynamics of COVID-19 by pseudocoevolutionary simulated annealing optimizers.		Zhan, Choujun; Zheng, Yufan; Lai, Zhikang; Hao, Tianyong; Li, Bing		Neural computing & applications			1-14	2020	2020 Aug 17 (Epub 2020 Aug 17)	English	1	4	© Springer-Verlag London Ltd., part of Springer Nature 2020.At the end of 2019, a new coronavirus (COVID-19) epidemic has triggered global public health concern. Here, a model integrating the daily intercity migration network, which constructed from real-world migration records and the Susceptible-Exposed-Infected-Removed model, is utilized to predict the epidemic spreading of the COVID-19 in more than 300 cities in China. However, the model has more than 1800 unknown parameters, which is a challenging task to estimate all unknown parameters from historical data within a reasonable computation time. In this article, we proposed a pseudocoevolutionary simulated annealing (SA) algorithm for identifying these unknown parameters. The large volume of unknown parameters of this model is optimized through three procedures co-adapted SA-based optimization processes, respectively. Our results confirm that the proposed method is both efficient and robust. Then, we use the identified model to predict the trends of the epidemic spreading of the COVID-19 in these cities. We find that the number of infections in most cities in China has reached their peak from February 29, 2020, to March 15, 2020. For most cities outside Hubei province, the total number of infected individuals would be less than 100, while for most cities in Hubei province (exclude Wuhan), the total number of infected individuals would be less than 3000.		School of Computer, South China Normal University, Guangzhou, 510631 China.; Nanfang College of Sun Yat-Sen University, Guangzhou, 510970 China.; School of Economics, Wuhan University of Technology, Wuhan, 430070 China.					COVID-19; Complex network; Epidemic spreading; Evolutionary computation; Prediction							0941-0643	9313239	England			Publisher			 / 28 Sep 2020		17 Aug 2020		10.1007/s00521-020-05285-9	MEDLINE:32836902	Green Published, Bronze			2021-12-06
J	34082638	Journal Article	A Novel Mutation at HBA1: c.349G>T Causing alpha-Thalassemia in a Chinese Family.		Yin, Zhenzhen; Hao, Yuqi; Huang, Xiaoyan; Chen, Xiaohang; Chen, Shiping; Li, Gaochi; Chen, Chuyan; Wei, Fengxiang		Hemoglobin	45	2	94-96	2021	2021 Mar (Epub 2021 Jun 04)	English	1	1	alpha-Thalassemia (alpha-thal) is one of the most common genetic diseases in Southern China. Although more than 300 alpha-thal mutations have been reported in the world, the mutation spectrum is still not comprehensive. In this study, a novel mutation (HBA1: c.349G>T) in a newborn (proband) was first found by next-generation sequencing (NGS). Subsequently, hematological analysis and thalassemia genetic testing were performed for the family members. The results showed that both the proband and her mother were heterozygotes for this novel mutation and presented abnormal hematological indices. Based on the features observed in clinical practice, this novel mutation was considered as a type of alpha-thal variation.		Nanfang College, Guangzhou, Guangdong Province, China.; Anhui Jinzhai Technical College (Anhui Jinzhai Vocational School), Liuan, Anhui Province, China.; Clinical Laboratory of BGI Health, BGI-Shenzhen, Shenzhen, Guandong Province, China.; The Genetics Laboratory, Shenzhen Longgang District Maternity and Child Healthcare Hospital, Shenzhen, Guandong Province, China.				Index Medicus	HBA1 gene; novel variant; alpha-Thalassemia (alpha-thal)							1532-432X	7705865	England			In-Process			 / 06 Jul 2021		04 Jun 2021		10.1080/03630269.2021.1925292	MEDLINE:34082638				2021-12-06
